,VACANTPERCENT,UNEMPL,POV,YOUNGPOP,CONCDIS,PHYSDIS0506
74,0.06553911205074,8.02,4.12,17.37,-0.35,207
75,0.0628930817610063,13.08,7.69,16.61,-0.12,86
76,0.0893371757925072,7.43,11.27,16.37,-0.3,99
77,0.00292397660818713,2.78,5.91,19.2,-0.48,127
78,0.00609756097560976,5.72,13.59,23.01,-0.2,174
79,0.0161290322580645,6.04,10.89,17.7,-0.18,147
80,0.0259965337954939,0.0,1.34,22.07,-0.92,70
81,0.0157068062827225,3.48,1.2,31.32,-1.06,90
82,0.025,0.0,2.08,18.3,-1.1,27
83,0.00604229607250755,8.44,1.82,27.35,-0.96,58
84,0.0108695652173913,0.0,0.61,23.72,-1.11,84
85,0.0757575757575758,0.0,8.56,13.59,-0.98,56
86,0.0409090909090909,3.01,20.09,8.38,-0.68,87
87,0.0584192439862543,6.99,9.36,17.5,-0.52,181
88,0.0677966101694915,1.75,3.28,18.03,-0.91,50
89,0.0179640718562874,1.51,9.79,6.59,-0.97,37
90,0.0,0.0,6.53,0.65,-0.94,6
91,0.0755555555555556,8.09,10.45,16.58,-0.37,82
92,0.0711743772241993,9.19,11.11,23.33,-0.16,124
93,0.0193236714975845,11.87,21.72,17.87,0.11,87
94,0.10924369747899199,9.18,12.27,20.5,-0.2,56
95,0.0862068965517241,4.16,18.26,24.21,-0.17,76
96,0.0686813186813187,0.6,12.31,15.21,-0.54,180
97,0.11034482758620698,6.03,22.48,20.27,-0.06,88
98,0.0364372469635627,10.63,12.67,23.46,-0.25,102
99,0.00344827586206897,1.53,3.6,21.35,-0.58,95
100,0.0238095238095238,5.17,8.85,18.43,-0.47,168
101,0.0420711974110032,5.52,13.94,19.25,-0.08,186
102,0.00921658986175115,6.08,5.51,15.26,-0.33,58
103,0.0315186246418338,6.71,18.83,24.34,-0.01,245
104,0.0106761565836299,6.61,8.7,22.28,-0.16,128
105,0.0,14.62,5.94,22.14,0.09,54
106,0.0252707581227437,6.41,21.97,27.93,-0.09,189
107,0.0427807486631016,6.33,18.42,25.03,-0.07,135
108,0.012531328320802,13.6,17.18,24.32,0.02,180
109,0.0265486725663717,11.41,23.25,21.26,0.0,104
110,0.00520833333333333,5.84,3.23,24.17,-0.13,77
111,0.0,4.81,11.36,23.26,-0.18,171
112,0.0,6.49,12.39,22.14,-0.18,323
113,0.00431034482758621,5.75,21.65,25.59,0.16,107
114,0.0035842293906809997,0.86,4.66,4.92,-1.01,48
115,0.00477326968973747,0.64,7.57,4.91,-0.96,46
116,0.0,0.0,3.71,5.81,-1.02,62
117,0.0290771175726928,1.67,2.99,5.3,-1.11,67
118,0.0039011703511053295,3.55,5.59,6.61,-0.87,59
119,0.0158730158730159,0.0,1.94,3.77,-1.14,16
120,0.105882352941176,0.0,5.31,8.31,-1.07,72
121,0.00274725274725275,2.4,7.87,4.5,-0.96,171
