OBJECTID	UIDIS05	UIDIS06	MPDDIS05	MPDDIS06	VACANTPERCENT	STATE_FIPS	TRACT	BLKGRP	POP2000	POP2004	POP00_SQMI	POP04_SQMI	WHITE	BLACK	ASIAN	HISPANIC	AGE_UNDER5	AGE_5_17	AGE_18_21	AGE_22_29	AGE_30_39	AGE_40_49	AGE_50_64	AGE_65_UP	VACANT	SQMI	SHAPE_LENG	SHAPE_AREA	STFID	PSA	UNEMPL	POV	SAMEHOUSE	PROFMAN	MALE	FEMALE	YOUNGPOP	YOUNGUNEMP	CONCDIS	RESSTAB	PROSOCIAL	METRO_BG	PUBHOUSPT	REC_BG	OFFPREM_BG	ONPREM_BG	STORE_BG	NIGHT_BG	TAVERN_BG	REST_BG	PHYSDIS0506	PHYSDIS0203	AVGDV	SCH_BG	AVGMPDDIS	AVGUIDISOR	AVGADW0506	AVGADW0001	RESIDENTIALCOUNT	RETAILCOUNT	MOTELHOTELCOUNT	RECREATIONCOUNT	VACANTCOUNT	METRODUMMY	PUBHOUSINGDUMMY	COMRETAILPERCENT	RATE18_29	ADWWEEKEND	ADWNIGHTS	ADWWEEKNIGHT	INVMILEDIST	STREETLIGHTDENSI	OFF_SQMI	ON_SQMI	NIGHT_SQMI	TAVERN_SQMI	STORE_SQMI	REST_SQMI	STLIGHT_SQMI	BUSSTOP_SQMI	PROSO_SQMI	HOMLESS_SQMI	DVWEEKEND	DVENDNIGHT	DVWEEKNIGHT	UIWEEKNIGH	UIENDNIGHT	UIWEEKEND	MPDWEEKNIG	MPDWENDNIG	MPDWEEKEND	NO_SINGLES	NOTALLOWS_SQMI	ALLOWS_SQMI	PCTNOTALLOW	ARR_0506	ADW05	ADW06	ADW00	ADW01	DV05	DV06
22	0	0	0	2	0	11	006302	1	57	60	211.1	222.2	28	26	1	2	1	5	4	6	14	6	21	0	3	.27	4289.65706084	660190.745772	110010063021	0	0	0	0	0	57.89	42.11	10.53	0	-.97	-2.31	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	.175438596491228	0	0	0	208.325752331693	14.8148148148148	0	0	0	0	0	0	14.8148148148148	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	5	3	0	0	0	1
24	43	59	85	73	.75	11	007308	1	377	377	201.6	201.6	25	321	2	42	0	110	217	49	0	1	0	0	0	1.87	11094.6204873	4701192.43173	110010073081	0	80.34	90.31	17.28	0	57.29	42.71	29.18	9.69	0	-2.01	0	0	0	0	0	0	0	0	0	0	11	15	30	0	79	51	2	0	0	0	0	0	9	0	0	0	.705570291777188	.5	0	0	36.8135859344624	63.6363636363636	0	0	0	0	0	0	63.6363636363636	5.3475935828877	0	0	10	6	6	17	9	19	36	158	34	0	0	0	0	67	0	5	1	0	21	38
25	11	9	63	47	.0205128205128205	11	000300	5	1449	1394	28980	27880	1176	76	100	104	37	56	37	539	411	172	138	59	18	.05	1390.556219	118998.396807	110010003005	205	2.69	9.75	26.06	10.11	41.2	58.8	6.42	0	-.84	-1.4	0	0	0	0	0	0	0	0	0	0	13	37	6	0	55	10	0	0	191	0	0	0	4	0	0	0	.397515527950311	0	0	0	415.540027600965	1400	0	0	0	0	0	0	1400	60	0	0	2	0	0	2	0	1	7	110	77	0	0	0	0	6	0	0	0	1	9	2
26	19	9	92	145	.00884955752212389	11	000300	4	1404	1493	23400	24883.3	1254	25	70	51	76	55	40	540	324	141	152	76	17	.06	1670.67914775	163748.964269	110010003004	205	2.54	8.14	29.1	8.71	45.73	54.27	9.33	0	-.99	-.55	0	0	0	0	0	0	0	0	0	0	80	43	2	0	118	14	0	0	556	0	0	0	5	0	0	.00176991150442478	.413105413105413	0	0	0	931.392052216328	2833.33333333333	0	0	0	0	0	0	2833.33333333333	83.3333333333333	0	0	0	0	0	3	2	9	6	237	167	0	0	0	0	21	0	0	0	0	1	3
27	41	36	196	219	.0228898426323319	11	000300	1	1234	1101	12340	11010	1117	20	54	63	41	40	116	447	263	95	141	91	30	.1	2608.20315338	250076.905852	110010003001	205	0	17.57	21.38	19.21	49.68	50.32	6.56	0	-.94	-.99	1	0	0	0	3	9	3	1	1	7	113	62	2	1	208	38	2	2	610	28	0	0	16	0	0	.0686695278969957	.456239870340357	1.5	.5	0	803.770362020332	1860	30	90	10	10	30	70	1860	140	10	0	0	0	0	13	9	19	49	415	235	0	0	30	0	71	3	3	1	3	1	4
28	19	7	166	176	.0189155107187894	11	000300	3	1619	1587	8994.4	8816.7	1404	54	104	106	84	100	206	361	246	190	313	119	32	.18	3434.30586036	489429.075358	110010003003	205	2.61	25.28	29.16	10.61	49.23	50.77	11.37	0	-.72	-.55	0	0	0	0	0	0	0	0	0	0	97	89	1	0	171	13	2	0	717	0	0	1	15	0	0	0	.350216182828907	.5	.5	1	467.414559421674	911.111111111111	0	0	0	0	0	0	911.111111111111	38.8888888888889	0	0	0	0	0	3	6	9	20	342	188	0	0	0	0	65	0	2	0	0	1	1
29	3	10	30	29	.0472972972972973	11	000802	2	1062	1167	3662.1	4024.1	973	13	58	46	69	80	39	271	200	129	183	91	9	.29	4206.36180469	682219.027779	110010008022	203	0	13.87	36.49	17.53	49.72	50.28	14.03	0	-.93	-.11	0	0	0	0	0	0	0	0	0	0	111	52	1	0	30	6	0	0	421	1	0	0	21	0	0	.00225225225225225	.291902071563089	0	0	0	307.483930421716	548.275862068966	0	0	0	0	0	0	548.275862068966	10.3448275862069	0	0	0	0	0	4	3	3	4	59	40	0	0	0	0	4	0	0	0	0	1	1
30	22	24	88	93	.00779727095516569	11	000202	1	1127	1096	16100	15657.1	1032	19	41	52	41	65	97	216	170	131	251	156	30	.07	2672.78626304	189074.958735	110010002021	205	.62	25	38.22	11.68	47.47	52.53	9.41	0	-.78	-.11	1	0	0	0	1	4	1	0	0	4	52	57	4	1	90	23	2	0	433	30	0	0	4	0	0	.0779727095516569	.277728482697427	.5	.5	0	1113.67517638121	1500	14.2857142857143	57.1428571428571	0	0	14.2857142857143	57.1428571428571	1500	85.7142857142857	14.2857142857143	0	1	0	0	8	0	12	19	181	89	0	0	14.2857142857143	0	56	3	2	1	0	5	4
31	18	20	67	56	.0524625267665953	11	000802	3	1744	1684	2683.1	2590.8	1458	80	139	117	84	114	37	427	381	253	286	162	41	.65	5782.48621815	1648078.68703	110010008023	203	2.37	13.17	32.8	8.47	48.28	51.72	11.35	0	-.86	-.55	5	0	0	1	2	0	2	0	0	0	76	75	4	3	62	19	2	1	834	2	0	1	49	0	0	.0214132762312634	.26605504587156	.5	.5	0	303.18637637364	501.538461538462	3.07692307692308	0	0	0	3.07692307692308	0	501.538461538462	26.1538461538462	7.69230769230769	0	2	2	1	10	5	13	21	123	51	1	1.53846153846154	1.53846153846154	50	28	4	0	1	1	5	4
32	14	13	24	37	.0666666666666667	11	000201	1	4467	4472	23510.5	23536.8	3925	240	242	75	4	28	4068	282	24	13	21	27	3	.19	3237.65116425	542496.187265	110010002011	205	3.85	71.14	1.59	0	45.2	54.8	.72	0	.18	-1.21	1	0	0	0	0	1	0	0	0	1	14	1	6	1	30	14	4	2	23	0	0	0	2	0	0	0	.973807924781733	2.5	2	.5	556.418732612885	126.315789473684	0	5.26315789473684	0	0	0	5.26315789473684	126.315789473684	10.5263157894737	5.26315789473684	0	1	1	1	5	3	5	11	61	20	0	0	0	0	56	1	0	1	2	5	8
33	45	63	345	404	.0442324371205551	11	000202	4	1017	946	3766.7	3503.7	871	17	84	62	38	20	176	284	185	104	145	65	39	.27	4466.53789496	752684.979045	110010002024	206	0	33.24	16.62	22.49	54.18	45.82	5.7	0	-.72	-1.23	2	0	0	0	2	12	2	0	1	10	55	59	6	1	374	54	5	4	980	37	0	1	51	0	0	.0537727666955768	.452310717797443	3	2.5	0	851.879494083008	774.074074074074	7.40740740740741	44.4444444444444	0	3.7037037037037	7.40740740740741	37.037037037037	774.074074074074	14.8148148148148	7.40740740740741	3.7037037037037	2	2	0	17	11	25	92	749	343	0	0	7.40740740740741	0	392	5	9	7	2	1	11
34	12	17	27	21	.0148698884758364	11	000901	7	1394	1398	2489.3	2496.4	1269	32	54	68	82	284	40	37	135	222	424	170	16	.56	5192.61252865	1428708.50203	110010009017	203	1.66	4.08	57.87	23.07	50.14	49.86	26.26	0	-1.07	.95	0	0	0	0	0	0	0	0	0	0	152	151	1	0	24	14	0	0	515	0	0	0	8	0	0	.00743494423791822	.0552367288378766	0	0	0	129.691158435087	466.071428571429	0	0	0	0	0	0	466.071428571429	12.5	0	0	0	0	0	3	3	5	4	48	15	0	0	0	0	14	0	0	1	0	0	2
