OBJECTID	UIDIS05	UIDIS06	MPDDIS05	MPDDIS06	VACANTPERCENT	STATE_FIPS	TRACT	BLKGRP	POP2000	POP2004	POP00_SQMI	POP04_SQMI	WHITE	BLACK	ASIAN	HISPANIC	AGE_UNDER5	AGE_5_17	AGE_18_21	AGE_22_29	AGE_30_39	AGE_40_49	AGE_50_64	AGE_65_UP	VACANT	SQMI	SHAPE_LENG	SHAPE_AREA	STFID	PSA	UNEMPL	POV	SAMEHOUSE	PROFMAN	MALE	FEMALE	YOUNGPOP	YOUNGUNEMP	CONCDIS	RESSTAB	PROSOCIAL	METRO_BG	PUBHOUSPT	REC_BG	OFFPREM_BG	ONPREM_BG	STORE_BG	NIGHT_BG	TAVERN_BG	REST_BG	PHYSDIS0506	PHYSDIS0203	AVGDV	SCH_BG	AVGMPDDIS	AVGUIDISOR	AVGADW0506	AVGADW0001	RESIDENTIALCOUNT	RETAILCOUNT	MOTELHOTELCOUNT	RECREATIONCOUNT	VACANTCOUNT	METRODUMMY	PUBHOUSINGDUMMY	COMRETAILPERCENT	RATE18_29	ADWWEEKEND	ADWNIGHTS	ADWWEEKNIGHT	INVMILEDIST	STREETLIGHTDENSI	OFF_SQMI	ON_SQMI	NIGHT_SQMI	TAVERN_SQMI	STORE_SQMI	REST_SQMI	STLIGHT_SQMI	BUSSTOP_SQMI	PROSO_SQMI	HOMLESS_SQMI	DVWEEKEND	DVENDNIGHT	DVWEEKNIGHT	UIWEEKNIGH	UIENDNIGHT	UIWEEKEND	MPDWEEKNIG	MPDWENDNIG	MPDWEEKEND	NO_SINGLES	NOTALLOWS_SQMI	ALLOWS_SQMI	PCTNOTALLOW	ARR_0506	ADW05	ADW06	ADW00	ADW01	DV05	DV06
218	125	99	407	352	.026	11	007903	1	1243	1270	20716.7	21166.7	10	1201	0	30	70	230	60	107	165	213	206	192	98	.06	1846.09850222	157265.373756	110010079031	0	14.11	21.43	67.41	6.98	46.58	53.42	24.14	0	.27	.62	1	0	0	0	1	0	1	0	0	0	169	316	54	1	380	112	12	14	450	24	0	0	13	0	0	.056	.134352373290426	4	2.5	2	478.266641578165	2116.66666666667	16.6666666666667	0	0	0	16.6666666666667	0	2116.66666666667	50	16.6666666666667	0	12	6	12	46	26	51	171	759	192	0	0	16.6666666666667	0	303	16	16	17	12	71	38
219	82	82	190	193	.137450199203187	11	009301	5	1133	1057	8092.9	7550	274	776	18	68	58	161	56	148	187	153	208	162	45	.14	2515.42835302	368856.732064	110010093015	0	8.84	19.81	58.5	11.49	47.13	52.87	19.33	0	-.26	.73	12	0	0	0	0	3	0	0	2	1	133	215	20	2	192	82	6	6	353	38	0	0	69	0	0	.0856573705179283	.180052956751986	1	.5	2	1039.45656990542	1557.14285714286	0	21.4285714285714	0	14.2857142857143	0	7.14285714285714	1557.14285714286	157.142857142857	85.7142857142857	21.4285714285714	3	0	6	33	22	35	53	383	138	0	0	0	0	137	10	3	7	6	15	25
220	114	83	174	163	.106635071090047	11	009201	3	1381	1387	5524	5548	276	1004	20	73	57	166	168	187	219	207	199	178	86	.25	3334.45502667	640768.397514	110010092013	0	11.99	24.16	47.71	3.45	45.98	54.02	16.15	0	.12	-.22	2	1	0	0	1	0	1	0	0	0	126	223	26	0	168	98	6	6	339	4	0	0	45	1	0	.014218009478673	.257060101375815	2	.5	2	377.232212103896	864	4	0	0	0	4	0	864	84	8	0	6	4	4	49	14	34	75	337	80	0	0	4	0	172	7	5	6	6	24	27
221	42	32	122	153	.0532319391634981	11	009302	7	586	562	7325	7025	5	555	0	18	25	88	26	49	85	110	88	115	21	.08	2272.64310589	200316.529328	110010093027	0	8.25	14.13	75.59	1.12	46.42	53.58	19.28	0	.11	1.27	4	0	0	0	1	0	1	0	0	0	57	115	12	0	138	37	2	4	217	13	0	0	14	0	0	.0494296577946768	.127986348122867	.5	0	0	370.242823880408	1137.5	12.5	0	0	0	12.5	0	1137.5	62.5	50	0	2	0	4	21	12	18	68	275	65	0	0	12.5	0	87	5	8	3	4	8	15
222	146	65	342	319	.087962962962963	11	009302	8	615	574	7687.5	7175	20	573	1	13	38	97	29	60	81	107	114	89	48	.08	2037.35955497	203004.960415	110010093028	0	17.71	9.95	61.87	4.43	43.58	56.42	21.95	0	.14	.4	4	0	0	0	1	0	1	0	0	0	114	212	26	2	330	106	10	6	152	8	0	0	19	0	0	.0787037037037037	.144715447154472	2	1.5	3	456.806889218653	1187.5	12.5	0	0	0	12.5	0	1187.5	62.5	50	12.5	4	2	7	44	18	53	159	661	127	0	0	12.5	0	236	13	3	6	6	34	18
223	68	55	247	148	.079646017699115	11	009204	4	859	780	17180	15600	9	816	7	21	53	180	36	77	124	134	131	124	53	.05	1803.7066622	123452.140966	110010092044	0	11.45	30.23	65.97	11.22	45.75	54.25	27.12	0	.74	.25	2	0	0	1	1	0	1	0	0	0	47	118	26	1	198	62	6	6	203	1	0	0	18	0	0	.00442477876106195	.131548311990687	3.5	3	.5	480.289667494904	1660	20	0	0	0	20	0	1660	60	40	0	9	4	5	24	16	22	69	395	96	0	0	20	0	125	17	29	2	10	28	23
224	149	124	284	367	.0514018691588785	11	008803	6	1184	1221	3819.4	3938.7	642	436	43	75	32	99	385	345	139	92	51	41	37	.31	3698.64935484	788147.358201	110010088036	0	40.73	31.75	38.23	0	45.44	54.56	11.06	0	.66	-1.29	0	0	0	0	4	4	4	1	1	1	85	89	34	0	326	136	22	22	42	7	2	0	11	0	0	.0560747663551402	.616554054054054	6.5	5.5	5	707.805387542556	603.225806451613	12.9032258064516	12.9032258064516	3.2258064516129	3.2258064516129	12.9032258064516	3.2258064516129	603.225806451613	19.3548387096774	0	0	8	3	4	61	38	72	119	651	189	0	0	12.9032258064516	0	796	30	16	25	20	47	20
225	159	147	540	589	.108644859813084	11	008500	3	1589	2030	12223.1	15615.4	77	1457	4	53	91	298	82	145	237	258	234	244	131	.13	2399.98306097	329666.499532	110010085003	0	14.12	26.95	58.87	1.97	48.33	51.67	24.48	0	.29	.36	11	0	0	0	3	0	3	0	0	0	275	600	42	0	564	153	14	21	637	29	0	1	93	0	0	.0490654205607477	.142857142857143	4.5	3	4	2887.96290272213	1823.07692307692	23.0769230769231	0	0	0	23.0769230769231	0	1823.07692307692	92.3076923076923	84.6153846153846	7.69230769230769	14	7	6	75	29	59	267	1129	309	0	0	23.0769230769231	0	601	22	13	17	25	41	44
226	77	59	119	135	.0545073375262055	11	008802	3	1194	1034	17057.1	14771.4	27	1138	6	14	88	234	56	127	132	181	179	197	83	.07	1749.72980769	180728.512096	110010088023	0	16.63	20.27	78.29	0	43.3	56.7	26.97	0	.57	1.12	5	0	0	1	2	0	2	0	0	0	144	250	32	2	127	68	8	21	418	4	0	0	26	0	0	.010482180293501	.153266331658291	2.5	1.5	1.5	763.325219164529	1885.71428571429	28.5714285714286	0	0	0	28.5714285714286	0	1885.71428571429	57.1428571428571	71.4285714285714	0	4	1	9	34	15	30	60	254	61	0	0	28.5714285714286	0	232	12	5	23	19	36	29
227	54	52	284	171	.0338461538461538	11	008500	1	926	808	30866.7	26933.3	49	836	17	33	73	176	61	115	117	146	138	100	90	.03	1406.19242731	77971.6244945	110010085001	0	12.44	27.17	45.53	8.99	48.6	51.4	26.89	0	.21	-.13	0	0	0	0	0	0	0	0	0	0	162	208	24	0	228	53	6	10	311	1	0	0	11	0	0	.00307692307692308	.190064794816415	2.5	2	1.5	965.062351590586	2600	0	0	0	0	0	0	2600	200	0	0	7	6	6	17	10	24	73	455	152	0	0	0	0	114	8	8	13	7	21	28
228	207	210	814	673	.082382762991128	11	008410	1	1506	1386	18825	17325	55	1379	8	39	91	298	85	143	232	233	214	210	151	.08	2326.09586719	220120.815261	110010084101	0	21.08	19.32	58.01	6	48.14	51.86	25.83	0	.3	.47	12	0	0	0	3	6	3	1	2	3	343	625	60	0	744	208	22	34	595	66	0	1	65	0	0	.091254752851711	.151394422310757	4	2	6	1236.04063634823	1725	37.5	75	12.5	25	37.5	37.5	1725	112.5	150	0	12	8	12	86	60	112	363	1487	373	0	0	37.5	0	660	21	9	28	40	64	55
229	83	93	319	279	.0615942028985507	11	008500	2	694	657	13880	13140	24	663	2	8	31	160	41	59	102	115	114	72	40	.05	1386.21638106	118191.036879	110010085002	0	27.78	16.6	72.19	0	45.68	54.32	27.52	0	.44	.94	4	0	0	0	2	0	2	0	0	0	122	228	31	2	299	88	7	11	220	14	0	0	17	0	0	.0507246376811594	.144092219020173	1.5	0	1.5	942.818046095138	1740	40	0	0	0	40	0	1740	140	80	20	4	1	4	60	14	32	138	598	168	0	0	40	0	296	7	2	9	13	34	28
230	55	52	124	145	.0428082191780822	11	008301	1	1046	930	20920	18600	503	468	31	38	41	82	21	244	276	160	157	65	56	.05	1521.41194357	139911.357476	110010083011	0	1.65	4.41	43.74	15.14	52.58	47.42	11.76	0	-.71	-.08	5	0	0	0	3	1	3	0	0	1	89	119	14	0	134	54	3	4	503	20	0	0	25	0	0	.0599315068493151	.253346080305927	0	0	0	1466.28456363526	2080	60	20	0	0	60	20	2080	40	100	0	4	2	3	43	8	18	83	269	68	0	0	60	0	90	4	2	7	2	14	15
231	111	95	329	463	.0383747178329571	11	008402	4	1598	1576	22828.6	22514.3	363	1123	22	42	62	126	51	271	315	215	240	318	96	.07	1716.80229759	173144.454667	110010084024	0	11.12	26.62	50.28	16.95	45.06	54.94	11.76	0	.01	-.3	7	0	0	1	3	0	3	0	0	0	119	192	24	2	396	103	12	6	391	14	0	1	17	0	0	.036117381489842	.201501877346683	3	2.5	2.5	857.238249577224	1128.57142857143	42.8571428571429	0	0	0	42.8571428571429	0	1128.57142857143	57.1428571428571	100	28.5714285714286	6	3	6	63	14	30	185	792	214	1	14.2857142857143	28.5714285714286	33.3333333333333	195	9	18	7	5	27	22
232	65	54	118	128	.00749063670411985	11	009203	5	985	1058	7035.7	7557.1	17	928	10	26	68	219	40	96	153	129	137	143	10	.14	2731.11397598	366671.278338	110010092035	0	10.47	10.95	84.16	9.87	44.47	55.53	29.14	0	.14	1.15	0	0	0	0	1	0	1	0	0	0	112	185	34	0	123	60	3	4	258	3	0	0	2	0	0	.0112359550561798	.138071065989848	0	0	2	590.605782806312	814.285714285714	7.14285714285714	0	0	0	7.14285714285714	0	814.285714285714	50	0	0	6	4	6	32	9	20	58	246	61	0	0	7.14285714285714	0	61	0	1	4	5	20	49
233	62	70	83	91	.0133689839572193	11	003301	1	954	981	10600	10900	55	866	11	16	43	141	45	85	139	188	172	141	72	.09	2397.38818196	249712.196833	110010033011	0	12.03	19.92	69.98	9.11	52.62	47.38	19.29	0	.22	1.01	0	0	0	0	1	0	1	0	0	0	87	151	22	0	87	66	2	4	363	1	0	0	5	0	0	.00267379679144385	.136268343815514	.5	0	0	751.072536998992	1100	11.1111111111111	0	0	0	11.1111111111111	0	1100	100	0	0	4	2	5	24	17	30	30	174	74	0	0	11.1111111111111	0	61	3	2	6	1	27	18
234	31	15	39	64	.0398671096345515	11	009203	4	591	825	19700	27500	7	558	0	7	27	118	21	36	72	103	102	112	28	.03	1055.89473943	68393.947578	110010092034	0	6.35	17.79	62.24	7.63	45.69	54.31	24.53	0	.38	.68	1	0	0	0	0	0	0	0	0	0	106	170	13	0	52	23	3	3	240	0	0	0	12	0	0	0	.0964467005076142	.5	.5	.5	689.369316343627	3233.33333333333	0	0	0	0	0	0	3233.33333333333	33.3333333333333	33.3333333333333	0	2	0	2	10	8	10	34	103	21	0	0	0	0	80	3	2	2	4	12	14
235	27	26	81	60	.0253164556962025	11	009203	6	1285	1231	21416.7	20516.7	39	1189	9	41	85	187	77	146	186	212	229	163	50	.06	2073.13862891	152219.232621	110010092036	0	13.49	37.62	58.43	5.14	47.08	52.92	21.17	0	.56	.05	1	0	0	0	2	0	2	0	0	0	95	177	14	0	70	26	6	12	282	9	0	0	8	0	0	.0316455696202532	.173540856031128	3	2.5	2.5	660.53279666317	1833.33333333333	33.3333333333333	0	0	0	33.3333333333333	0	1833.33333333333	66.6666666666667	16.6666666666667	16.6666666666667	2	2	2	23	3	5	25	141	36	0	0	33.3333333333333	0	260	10	13	14	10	19	10
236	57	61	133	84	.00366300366300366	11	003301	3	796	791	26533.3	26366.7	63	706	1	16	38	116	36	92	139	154	143	78	50	.03	1347.22604024	84233.681102	110010033013	0	18	18.3	43.02	3.02	49.62	50.38	19.35	0	.28	-.12	0	0	0	0	1	0	1	0	0	0	111	137	12	0	108	59	2	5	265	1	0	0	1	0	0	.00366300366300366	.160804020100503	1.5	1	.5	4657.46680750465	2266.66666666667	33.3333333333333	0	0	0	33.3333333333333	0	2266.66666666667	33.3333333333333	0	0	4	2	4	23	18	26	49	217	57	0	0	33.3333333333333	0	43	1	2	5	5	14	10
237	69	86	419	300	.0157894736842105	11	008701	5	1138	1338	22760	26760	5	1107	4	11	85	229	65	108	163	141	164	183	71	.05	1493.79369048	117284.096369	110010087015	0	9.43	20.41	66.29	8.33	45.17	54.83	27.59	0	.57	.73	3	0	0	0	1	0	1	0	0	0	228	323	30	1	360	78	6	8	366	3	0	0	6	0	0	.00789473684210526	.152021089630931	1.5	.5	.5	1079.63493836226	2440	20	0	0	0	20	0	2440	60	60	20	6	3	7	42	27	39	153	719	173	0	0	20	0	129	6	4	5	11	32	27
238	60	63	202	227	.0161725067385445	11	003301	2	957	1122	23925	28050	60	842	5	52	43	166	42	122	174	135	161	114	71	.04	1463.26224923	105665.076043	110010033012	0	13.56	30.43	49.28	15.1	49.84	50.16	21.84	0	.4	.05	4	0	0	0	3	0	3	0	0	0	93	148	14	0	214	62	2	10	348	6	0	0	6	0	0	.0188679245283019	.171368861024033	1	1	0	3861.55050699419	2225	75	0	0	0	75	0	2225	50	100	0	2	0	1	21	22	35	96	429	131	0	0	75	0	56	2	3	8	13	20	9
239	87	71	311	283	.0176767676767677	11	003302	1	994	1018	24850	25450	36	916	2	30	63	191	42	97	170	172	151	108	116	.04	1501.36129277	104899.99519	110010033021	0	12.55	19.11	61.92	8.37	47.48	52.52	25.55	0	.16	.41	3	0	0	0	4	0	4	0	0	0	146	190	20	0	297	79	6	10	374	10	0	0	7	0	0	.0277777777777778	.139839034205231	2	1	0	2617.14324792099	2275	100	0	0	0	100	0	2275	125	75	0	4	2	6	32	15	39	158	594	152	0	0	100	0	120	8	5	11	9	21	19
240	119	100	262	262	.0367816091954023	11	008701	4	1277	1212	11609.1	11018.2	38	1191	11	39	82	226	57	86	222	234	204	166	94	.11	2166.63724882	267183.201895	110010087014	0	18.26	17.99	55.19	1.24	49.33	50.67	24.12	0	.33	.25	6	0	1	1	2	0	2	0	0	0	159	295	34	4	262	110	16	18	382	15	0	1	16	0	1	.0413793103448276	.111981205951449	4	2.5	4	850.175980212036	1354.54545454545	18.1818181818182	0	0	0	18.1818181818182	0	1354.54545454545	109.090909090909	54.5454545454545	27.2727272727273	8	6	8	49	29	49	112	524	141	0	0	18.1818181818182	0	282	12	17	13	23	42	26
241	60	67	94	137	.127450980392157	11	008702	3	700	657	7000	6570	25	642	0	19	37	110	35	74	127	130	103	84	35	.1	2331.37499806	248200.017705	110010087023	0	15.08	27.93	46.35	2.17	48	52	21	0	.87	-.42	5	0	0	0	1	0	1	0	0	0	67	170	19	0	116	64	6	4	147	3	0	0	26	0	0	.0196078431372549	.155714285714286	0	0	1.5	707.421919647319	1060	10	0	0	0	10	0	1060	30	50	10	4	2	6	27	12	18	48	231	60	0	0	10	0	113	3	3	3	5	22	16
242	90	77	231	172	.0193905817174515	11	003302	2	836	818	20900	20450	39	759	20	22	44	117	40	80	150	166	140	99	57	.04	1427.47001292	93710.379654	110010033022	0	16.29	11	63.16	11.26	51.56	48.44	19.26	0	.16	.5	3	0	0	0	2	0	2	0	0	0	80	140	18	0	202	84	4	2	333	13	0	0	7	0	0	.03601108033241	.143540669856459	.5	.5	0	1458.02379511612	2025	50	0	0	0	50	0	2025	75	75	25	6	4	4	29	27	45	97	403	93	0	0	50	0	115	9	4	2	3	26	9
243	75	69	228	132	.0663900414937759	11	009501	1	1721	1648	7822.7	7490.9	71	1547	14	81	117	252	97	229	279	314	238	195	87	.22	3713.92061563	552244.886751	110010095011	408	12.94	19.23	46.83	7.41	44.97	55.03	21.44	0	.17	-.63	0	0	0	0	1	0	1	0	0	0	102	226	26	0	180	72	10	6	221	1	0	0	16	0	0	.004149377593361	.189424753050552	3.5	1.5	2	238.247255757118	686.363636363636	4.54545454545455	0	0	0	4.54545454545455	0	686.363636363636	13.6363636363636	0	4.54545454545455	7	2	4	20	20	40	80	360	118	0	0	4.54545454545455	0	122	7	5	5	8	23	30
244	55	64	205	185	0	11	002202	1	1389	1340	7310.5	7052.6	46	1225	6	127	82	245	51	124	224	240	226	197	90	.19	2868.92056278	491967.035198	110010022021	407	8.46	16.78	57.7	3.94	42.84	57.16	23.54	0	.08	-.08	0	0	0	0	2	0	2	0	0	0	133	349	32	0	195	60	12	4	263	7	0	0	0	0	0	.0251798561151079	.125989920806336	4.5	2	2	326.014939362241	657.894736842105	10.5263157894737	0	0	0	10.5263157894737	0	657.894736842105	47.3684210526316	0	0	8	4	4	27	15	22	95	390	90	0	0	10.5263157894737	0	239	16	16	6	3	37	28
245	16	26	36	55	.0104166666666667	11	009509	8	791	769	7910	7690	9	762	3	3	35	108	29	51	86	118	193	171	12	.1	2222.96730251	249085.177041	110010095098	0	1.59	11.44	73.35	15.63	44.63	55.37	18.08	0	-.31	1.41	0	0	0	0	0	0	0	0	0	0	70	125	4	0	46	21	1	2	360	0	0	0	4	0	0	0	.101137800252844	.5	.5	.5	382.062443014341	1080	0	0	0	0	0	0	1080	10	0	0	1	1	2	9	1	3	22	91	24	0	0	0	0	36	0	4	1	3	8	1
246	38	26	71	52	.00434782608695652	11	009509	2	1033	983	12912.5	12287.5	24	984	2	2	30	136	30	59	107	162	197	312	10	.08	2117.85928031	212644.233655	110010095092	0	8.68	3.22	87.38	6.18	42.5	57.5	16.07	0	-.22	1.9	1	0	0	0	1	0	1	0	0	0	105	130	8	0	62	32	3	1	455	2	0	0	2	0	0	.00434782608695652	.0861568247821878	1.5	1	1	277.483576543984	1750	12.5	0	0	0	12.5	0	1750	62.5	12.5	0	1	0	3	9	11	22	30	123	33	0	0	12.5	0	52	4	4	2	0	8	8
247	33	24	37	49	.0677966101694915	11	009501	4	669	633	11150	10550	12	624	6	9	42	72	18	96	127	146	118	50	59	.06	1725.44440028	154806.737256	110010095014	408	5.86	8.23	36.66	0	50.22	49.78	17.04	0	0	-1.3	0	0	0	0	0	0	0	0	0	0	33	103	11	0	43	28	2	3	53	0	0	0	4	0	0	0	.170403587443946	1.5	.5	.5	275.483019028593	1383.33333333333	0	0	0	0	0	0	1383.33333333333	83.3333333333333	0	0	2	1	2	6	13	17	18	86	14	0	0	0	0	48	2	5	1	5	3	19
248	41	39	90	67	.0130548302872063	11	002301	1	1204	1169	20066.7	19483.3	24	1082	7	67	82	196	54	95	170	181	214	212	46	.06	1683.74153943	159219.316161	110010023011	407	11.56	13.23	65.54	4.62	43.77	56.23	23.09	0	.03	.73	2	0	0	0	2	0	2	0	0	0	296	275	19	0	78	40	7	5	356	12	0	0	5	0	0	.031331592689295	.12375415282392	2	1	.5	513.188940748107	2183.33333333333	33.3333333333333	0	0	0	33.3333333333333	0	2183.33333333333	100	33.3333333333333	0	7	4	4	14	14	23	40	157	41	0	0	33.3333333333333	0	92	7	4	8	2	19	19
249	67	62	126	63	.0248091603053435	11	009504	7	1643	1585	7823.8	7547.6	233	1348	30	27	55	223	63	134	185	285	314	384	19	.21	3044.38078773	554986.705723	110010095047	0	17.55	9.44	65.98	8.07	44.61	55.39	16.92	0	.02	1.07	1	0	0	0	0	0	0	0	0	0	121	205	26	0	94	64	2	4	495	0	0	0	13	0	0	.00190839694656489	.119902617163725	.5	.5	.5	211.245396388906	961.904761904762	0	0	0	0	0	0	961.904761904762	52.3809523809524	4.76190476190476	0	6	2	4	40	7	27	57	189	47	0	0	0	0	77	2	5	3	4	24	27
250	21	35	66	54	.004739336492891	11	009501	3	968	885	16133.3	14750	57	871	18	20	59	116	72	172	182	136	151	80	47	.06	1678.24461055	165262.3589	110010095013	408	5.27	8.21	36.72	7.36	46.69	53.31	18.08	0	-.22	-.91	1	0	0	0	1	0	1	0	0	0	60	188	4	1	60	28	4	4	208	1	0	0	1	0	0	.004739336492891	.252066115702479	0	0	.5	281.543575296797	1233.33333333333	16.6666666666667	0	0	0	16.6666666666667	0	1233.33333333333	133.333333333333	16.6666666666667	0	0	0	2	6	11	22	33	120	28	0	0	16.6666666666667	0	59	1	1	5	3	2	5
251	65	63	76	98	.00530035335689046	11	002302	1	1345	1296	1724.4	1661.5	402	848	21	52	48	90	210	294	184	191	183	145	20	.78	5876.42305873	2015227.27449	110010023021	407	4.22	23.86	22.64	15.66	43.27	56.73	10.26	0	-.26	-1.4	1	0	0	0	2	0	2	0	0	0	102	54	44	1	87	64	4	2	557	1	0	0	3	0	0	.00176678445229682	.374721189591078	1.5	1	0	525.771502147758	303.846153846154	2.56410256410256	0	0	0	2.56410256410256	0	303.846153846154	19.2307692307692	1.28205128205128	2.56410256410256	9	5	6	21	15	19	34	174	46	0	0	2.56410256410256	0	199	3	3	1	4	45	43
252	90	51	108	58	.4	11	009501	2	1906	1904	7059.3	7051.9	1698	88	73	87	0	8	1373	246	85	42	41	111	17	.27	4042.60583428	721885.522494	110010095012	408	63.92	46.76	16.57	4.12	50.47	49.53	.42	0	1.2	-1.97	4	0	0	0	0	1	0	0	0	1	13	46	24	1	83	70	4	1	0	0	0	0	8	0	0	0	.849422875131165	.5	0	1.5	291.393898739283	240.740740740741	0	3.7037037037037	0	0	0	3.7037037037037	240.740740740741	25.9259259259259	14.8148148148148	0	5	1	3	37	9	23	33	166	48	0	0	0	0	40	6	4	0	2	21	26
253	109	93	500	425	.048526863084922	11	009504	6	1710	1636	9500	9088.9	374	1209	51	75	104	219	72	233	303	289	285	205	55	.18	2784.99594123	471266.341895	110010095046	0	12.36	15.97	50.27	8.17	48.95	51.05	18.89	0	-.01	-.26	4	0	0	1	3	2	3	1	1	0	202	261	37	1	462	101	9	8	488	23	0	0	28	0	0	.0502599653379549	.178362573099415	2.5	1	2	636.306421238784	1627.77777777778	16.6666666666667	11.1111111111111	5.55555555555556	5.55555555555556	16.6666666666667	0	1627.77777777778	144.444444444444	22.2222222222222	5.55555555555556	12	6	8	37	22	45	304	925	204	0	0	16.6666666666667	0	121	11	7	8	9	39	35
254	60	56	121	74	.00741839762611276	11	009503	1	1610	1629	6192.3	6265.4	109	1463	9	10	62	263	49	99	181	258	312	386	19	.26	3315.84071099	670011.494138	110010095031	0	7.63	7.48	79.64	7.48	44.84	55.16	20.19	10.48	-.29	1.62	4	0	0	1	0	0	0	0	0	0	138	233	12	1	98	58	3	3	662	0	0	1	5	0	0	0	.0919254658385093	1	1	1	140.472060438886	1165.38461538462	0	0	0	0	0	0	1165.38461538462	30.7692307692308	15.3846153846154	3.84615384615385	2	2	2	25	10	20	46	195	47	0	0	0	0	89	1	1	5	1	18	7
255	45	41	29	25	.08125	11	009400	1	625	603	3676.5	3547.1	21	594	3	6	20	72	21	38	56	82	124	212	7	.17	3240.28096343	433467.616737	110010094001	0	12.25	3.67	65.95	11.32	44.64	55.36	14.72	0	-.32	1.11	3	0	0	0	0	0	0	0	0	0	71	148	9	0	27	43	0	2	287	1	0	0	26	0	0	.003125	.0944	.5	0	0	131.313388560885	1505.88235294118	0	0	0	0	0	0	1505.88235294118	94.1176470588235	17.6470588235294	5.88235294117647	2	1	2	14	9	23	10	54	13	0	0	0	0	19	1	0	3	1	8	10
256	40	17	38	40	.0309597523219814	11	009503	3	749	742	8322.2	8244.4	117	599	7	5	33	96	36	45	105	132	134	168	8	.09	2573.65793246	227284.387556	110010095033	0	11.86	10.71	71.16	3.53	44.99	55.01	17.22	0	-.15	1.28	2	0	0	0	0	0	0	0	0	0	51	79	6	0	39	28	2	1	297	0	0	0	10	0	0	0	.108144192256342	1	.5	0	249.311946350061	1844.44444444444	0	0	0	0	0	0	1844.44444444444	66.6666666666667	22.2222222222222	0	2	1	0	13	4	9	12	78	26	0	0	0	0	22	1	1	1	1	6	5
257	29	18	35	21	.0347003154574132	11	009503	2	707	759	3535	3795	90	601	2	22	57	85	16	33	68	120	117	211	8	.2	3197.50798869	526098.772747	110010095032	0	0	1.41	74.26	2.58	48.37	51.63	20.08	0	-.65	1.46	6	0	0	0	0	0	0	0	0	0	60	95	3	3	28	24	2	1	298	0	0	0	11	0	0	.00315457413249211	.0693069306930693	.5	0	0	183.62695183465	925	0	0	0	0	0	0	925	75	30	0	0	0	0	12	5	5	21	56	9	0	0	0	0	28	2	3	0	2	3	3
258	40	22	26	20	.0225988700564972	11	009400	4	756	717	8400	7966.7	25	696	8	20	23	89	36	71	82	115	143	197	19	.09	2286.34350079	227097.952693	110010094004	0	10.78	6.06	53.17	8.24	42.59	57.41	14.81	0	-.29	.7	1	0	0	0	0	0	0	0	0	0	85	139	6	1	23	31	0	2	321	6	0	0	8	0	0	.0169491525423729	.141534391534392	0	0	0	156.029911346496	1988.88888888889	0	0	0	0	0	0	1988.88888888889	33.3333333333333	11.1111111111111	0	1	0	0	10	5	9	12	46	10	0	0	0	0	14	0	0	0	3	4	7
259	38	43	68	57	.0829015544041451	11	009400	3	832	788	9244.4	8755.6	18	799	0	22	50	130	28	52	110	125	136	201	22	.09	2268.98877919	241915.815308	110010094003	0	10.57	5.02	79.83	3.75	44.35	55.65	21.63	0	-.21	1.63	1	0	0	0	0	0	0	0	0	0	91	160	14	0	62	40	3	0	338	0	0	0	32	0	0	0	.0961538461538462	1	0	1	167.125079945651	1788.88888888889	0	0	0	0	0	0	1788.88888888889	66.6666666666667	11.1111111111111	11.1111111111111	6	2	4	25	10	22	18	125	43	0	0	0	0	50	4	2	1	0	19	10
260	199	183	356	277	.0837887067395264	11	009400	5	1422	1362	8364.7	8011.8	53	1295	10	49	66	242	63	117	185	231	240	278	33	.17	3281.63469281	452169.073457	110010094005	0	9.39	9.96	70.64	6.59	46.41	53.59	21.66	0	-.09	1.05	8	0	0	1	1	1	1	0	0	1	142	295	39	2	316	191	8	9	457	27	1	0	46	0	0	.0619307832422587	.126582278481013	2	.5	1	221.838675786712	1470.58823529412	5.88235294117647	5.88235294117647	0	0	5.88235294117647	5.88235294117647	1470.58823529412	64.7058823529412	47.0588235294118	0	10	3	8	81	47	95	130	633	186	1	5.88235294117647	0	100	228	15	7	11	7	45	33
261	54	37	102	133	.103286384976526	11	009400	2	531	529	5900	5877.8	38	470	3	22	17	83	16	24	84	83	91	133	11	.09	2162.50653211	236603.620559	110010094002	0	7.69	15.01	62.66	16.67	47.46	52.54	18.83	0	-.01	.78	1	0	0	0	0	0	0	0	0	0	106	175	10	0	118	46	2	2	170	2	0	0	22	0	0	.00938967136150235	.0753295668549906	.5	.5	.5	186.247379497502	1333.33333333333	0	0	0	0	0	0	1333.33333333333	44.4444444444444	11.1111111111111	11.1111111111111	2	0	4	15	7	20	52	235	57	0	0	0	0	98	2	3	1	4	8	11
262	117	98	213	205	.0970350404312668	11	009101	5	1823	1805	7011.5	6942.3	77	1671	30	53	79	341	69	131	214	296	303	390	58	.26	4689.33012527	696922.255875	110010091015	0	9.92	11.99	61.39	3.76	46.19	53.81	23.04	0	-.07	.84	14	0	0	1	3	0	3	0	0	0	205	431	34	2	209	108	12	10	582	21	2	4	72	0	0	.0363881401617251	.109709270433352	4.5	3	3.5	272.680742276566	1211.53846153846	11.5384615384615	0	0	0	11.5384615384615	0	1211.53846153846	92.3076923076923	53.8461538461538	0	7	2	6	39	33	58	106	418	113	0	0	11.5384615384615	0	325	6	3	9	10	35	32
